"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Middlesex County, NJ"	"34023"	13	842798	Unreliable
	"Monmouth County, NJ"	"34025"	12	626351	Unreliable
	"Passaic County, NJ"	"34031"	27	512607	5.3
	"Union County, NJ"	"34039"	22	563892	3.9
	"Bernalillo County, NM"	"35001"	76	676773	11.2
	"San Juan County, NM"	"35045"	10	126926	Unreliable
	"Bronx County, NY"	"36005"	64	1471160	4.4
	"Erie County, NY"	"36029"	47	925528	5.1
	"Kings County, NY"	"36047"	122	2648771	4.6
	"Monroe County, NY"	"36055"	37	747642	4.9
	"Nassau County, NY"	"36059"	27	1369514	2.0
	"New York County, NY"	"36061"	35	1664727	2.1
	"Onondaga County, NY"	"36067"	25	465398	5.4
	"Queens County, NY"	"36081"	46	2358582	2.0
	"Richmond County, NY"	"36085"	12	479458	Unreliable
	"Suffolk County, NY"	"36103"	23	1492953	1.5
	"Westchester County, NY"	"36119"	25	980244	2.6
	"Alamance County, NC"	"37001"	11	162391	Unreliable
	"Buncombe County, NC"	"37021"	10	257607	Unreliable
	"Catawba County, NC"	"37035"	14	157974	Unreliable
	"Columbus County, NC"	"37047"	13	55936	Unreliable
	"Cumberland County, NC"	"37051"	39	332546	11.7
	"Durham County, NC"	"37063"	28	311640	9.0
	"Forsyth County, NC"	"37067"	30	376320	8.0
	"Franklin County, NC"	"37069"	10	66168	Unreliable
	"Gaston County, NC"	"37071"	10	220182	Unreliable
	"Guilford County, NC"	"37081"	50	526953	9.5
	"Halifax County, NC"	"37083"	12	51310	Unreliable
	"Harnett County, NC"	"37085"	10	132754	Unreliable
	"Mecklenburg County, NC"	"37119"	92	1076837	8.5
	"Nash County, NC"	"37127"	10	93991	Unreliable
	"New Hanover County, NC"	"37129"	20	227198	8.8
	"Onslow County, NC"	"37133"	11	193893	Unreliable
	"Randolph County, NC"	"37151"	10	143282	Unreliable
	"Robeson County, NC"	"37155"	24	132606	18.1
