"State.Code..FIPS.","County.Code..FIPS.","County","2013 population","2013 murders","2014 population","2014 murders","2015 population","2015 murders","2016 population","2016 murders","2017 population","2017 murders","2013 murders per 100,000 people","2014 murders per 100,000 people","2015 murders per 100,000 people","2016 murders per 100,000 people","2017 murders per 100,000 people","2013-17 average murders per 100K","2013-17 average population","Index crime rate per 100K, 2013","Index crime rate per 100K, 2014","Index crime rate per 100K, 2015","Index crime rate per 100K, 2016","Index crime rate per 100K, 2017","Average index crime rate, 2013-17","Summary.Level","County.Subdivision.Code..FIPS.","Place.Code..FIPS.","Consolidtated.City.Code..FIPS.","Median annual income","Percent in poverty","Percent black","Percent non-Hispanic white","Percent of households headed by husbandless women","Percent of households headed by husbandless mothers","Median age","Percent of 25-and-older with college degree","Households","Percent in labor force","Percent of homes owner-occupied","Percent of homes vacant","Percent of households headed by wifeless fathers","Percent born outside U.S.","Unemployment rate","Homeowner vacancy rate","Rental vacancy rate","Percent with broadband internet","Births per 1,000 women aged 15-19","Percent of homes rented","BlackCategory","WhiteCategory"
"12","049","Hardee County",27682,1,27712,0,27645,0,27637,0,27426,0,3.61245574741709,0,0,0,0,0.722491149483419,27620.4,2741.85391228957,2623.41224018476,1913.54675348164,2178.2,1979.9,2287.38258119119,50,"00000","00000","00000",39063,24.5,8.1,47.4,14.9,8.3,34.9,10.5,7718,52.1,68.5,20.6,2.7,3580,9.1,2.5,9.9,54.9,39,31.5,"Less than 10% black","25-49"
"12","051","Hendry County",37808,2,37895,1,38096,3,38370,5,39057,4,5.28988573846805,2.63887056339887,7.87484250314994,13.0310138128746,10.2414419950329,7.81521092258488,38245.2,3827.23233178163,3868.58424594274,4066.04367912642,2786,2995.6,3508.69205137016,50,"00000","00000","00000",37966,25.5,11.4,33.5,19.5,12.9,33.7,8.4,12098,60,65.4,17.5,3.9,10771,8.2,1.2,3.2,61.6,42,34.6,"10-24","25-49"
"12","053","Hernando County",173808,8,174955,9,176819,2,179503,4,181882,8,4.60278007916782,5.14417993198251,1.13110016457507,2.22837501323098,4.3984561418942,3.50097826617011,177393.4,2557.41968148762,2544.65433968735,2508.78016502751,2166.5,2067.8,2369.0308372405,50,"00000","00000","00000",44324,14.3,5.2,79.3,11.7,5.4,48.9,17.1,72234,46.9,77.8,15.7,2.3,12292,8.8,2.7,7.9,78.8,11,22.2,"Less than 10% black","50+"
"12","055","Highlands County",99092,4,99818,11,100748,5,101531,7,102138,7,4.03665280749203,11.0200565028352,4.96287767499107,6.89444603126139,6.85347275255047,6.75350115382602,100665.4,3327.2110765753,2831.1526979102,2678.96136896018,2948.9,2931.3,2943.50502868914,50,"00000","00000","00000",36374,18.7,9.5,68.4,9.3,4.3,53.1,17.1,41350,42.7,74.7,25.5,2.1,11138,11.5,4.1,14,67.6,7,25.3,"Less than 10% black","50+"
"12","057","Hillsborough County",1276410,63,1301887,57,1325563,70,1352797,63,1379302,63,4.93571814699039,4.37826017158171,5.28077503672025,4.65701801526763,4.56752763354218,4.76385980082043,1327191.8,2557.95551586089,2437.9996113334,2354.32039065665,2081.3,1958.4,2277.99510357019,50,"00000","00000","00000",53742,15.7,16.6,50.3,14,7.9,36.8,32,505845,65.1,58,10.3,2.4,222469,6.8,2.1,6.8,82.5,18,42,"10-24","50+"
"12","059","Holmes County",20022,0,20025,0,19902,2,20003,0,20210,0,0,0,10.0492412822832,0,0,2.00984825645664,20032.4,1713.11557286984,1697.87765293383,1241.08129836197,1524.8,1761.5,1587.67490483313,50,"00000","00000","00000",37474,26.6,7.4,87.1,12.6,6.2,42.2,11.5,7019,45.3,78.3,19.1,1.8,373,11.5,0.5,6.7,65.3,0,21.7,"Less than 10% black","50+"
"12","061","Indian River County",139586,4,140955,7,143326,2,146410,4,148962,3,2.86561689567722,4.96612394026462,1.39542023080251,2.73205382146028,2.01393644016595,2.79463026567412,143847.8,2426.46110641468,2529.17597814905,2742.00075352692,2131.7,2242.9,2414.44756761813,50,"00000","00000","00000",49009,12.7,9.1,75.9,7.8,3.3,52.2,27.8,57911,48.7,75.8,26.2,1.6,15237,8.2,2.7,21.3,78.5,10,24.2,"Less than 10% black","50+"
"12","063","Jackson County",50166,3,50231,1,50458,3,50345,0,50418,7,5.98014591556034,1.99080249248472,5.94553886400571,0,13.8839303423381,5.56008352287776,50323.6,1979.42829805047,1903.20718281539,2102.73891157002,2071.7,2352.3,2081.87487848718,50,"00000","00000","00000",36944,21.6,27,65.5,15.4,7.5,41.5,14,17041,44.9,70.1,19.1,1.9,1540,11.2,1.4,7.3,64.5,31,29.9,"25-49","50+"
"12","065","Jefferson County",14554,0,14597,0,14519,0,14498,1,14611,0,0,0,0,6.8975031038764,0,1.37950062077528,14555.8,1552.83770784664,2185.38055764883,2086.92058681727,2027.9,2053.2,1981.24777046255,50,"00000","00000","00000",47599,13.9,35.2,58.2,14.6,6,46,21.2,5702,44.1,77.4,14.6,3.5,436,7.2,1,4.6,66.8,0,22.6,"25-49","50+"
"12","067","Lafayette County",8618,0,8696,0,8664,0,8621,0,8479,1,0,0,0,0,11.7938436136337,2.35876872272674,8615.6,626.595497795312,770.469181232751,911.819021237304,846.8,825.6,796.256740053073,50,"00000","00000","00000",41512,17.8,15.7,68.3,14,6.3,39.2,14,2193,40.7,81.2,32,2.1,404,12.8,4.4,16.6,67,0,18.8,"10-24","50+"
